Question,Classification
What are the basic to do items after I come to NMSU?,1
What do I need to do after I arrive at NMSU?,1
What should I do once I arrive at NMSU? ,1
What should I do when I arrive at NMSU? ,1
What should my next steps be once I come to NMSU? ,1
What do I do when I arrive at NMSU? ,1
What will my next steps be when I arrive at NMSU?,1
What will my to do list be when I arrive at NMSU?,1
What should my to do list be when I arrive at NMSU?,1
What could my to do list look like when I arrive at NMSU?,1
Once I arrive what should my to do list look like?,1
Once I arrive at NMSU what should my next steps be?,1
Once I arrive what should I do?,1
Once I arrive what do I do?,1
Once I arrive what do I need to do?,1
Once I arrive what should my to do list be?,1
Once I arrive at NMSU what do I need to do?,1
When I arrive what should my to do list be?,1
When I come to NMSU what should my next steps be?,1
When I arrive what should I do?,1
When I arrive what do I do?,1
When I arrive at NMSU what should my to do list be?,1
When I arrive at NMSU what should my next steps be?,1
When I come to NMSU what should my to do list look like?,1
When I arrive at NMSU what should my to do list look like?,1
After I arrive at NMSU what do I need to do?,1
After I arrive at NMSU what should my to do list be?,1
After I arrive at NMSU what will my next steps be?,1
After I arrive at NMSU what should my next steps be?,1
After I arrive at NMSU what should I do?,1
After I arrive at NMSU what will my to do list look like?,1
After I arrive what do I need to do?,1
After I arrive what should my to do list be?,1
After I arrive what will my next steps be?,1
After I arrive what should my next steps be?,1
After I arrive what should I do?,1
After I arrive what  will my to do list be?,1
Could I get a to do list for when I arrive?,1
Could you tell me what I should do once I arrive?,1
Could you tell me what I need to do once I arrive?,1
Could you tell me what my to do list should look like once I arrive?,1
Could you tell me what I should do when I arrive?,1
Could you tell me what I need to do when I arrive?,1
Could you tell me what my to do list should look like for when I arrive?,1
Do you know what my to do list will look like once I arrive?,1
Do you know what I should do when I arrive?,1
Do you know what my to do list should be for when I arrive?,1
Do you know what my next steps need to be once I arrive?,1
Do you know what I need to do once I arrive?,1
Do you know what I should do once I arrive at NMSU?,1
Who is the current department graduate advisor?,2
Who is the current department grad advisior?,2
Who should I see about graduate advising?,2
Who should I contact about graduate advising?,2
If I have any other questions about graduate advising who should I contact?,2
If I have any other questions about grad advising who should I contact?,2
Where can I get my questions about graduate advising answered?,2
Who can answer my questions about grad advising?,2
Where do I look to get answers about graduate advising?,2
Who can I contact about grad advising?,2
Who is the CS grad advisor?,2
Who is the CS graduate advisor?,2
Who can answer my grad advisiong qiestions?,2
Who can answer my graduate advising questions?,2
"I have questions about grad advising, who can answer them?",2
"I have questions about graduate advising, who can answer them?",2
Who should I send my grad advising questions to?,2
Who should I send my graduate advising questions to?,2
If I have questions about grad advising who should I contact?,2
If I have questions about graduate advising who should I contact?,2
Where can I get my grad questions answered?,2
Where can I get my graduate questions answered?,2
Where should I direct my grad advising questions?,2
Where should I direct my graduate advising questions?,2
Who should I direct my graduate advising questions to?,2
Who should I direct my grad advising questions to?,2
Who is the department graduate advisor?,2
Who is the department grad advisor?,2
Who is my graduate advisor?,2
